country,SUBJECT,TIME,Value
USA,OTHPRIVENT,2008,18.40829
USA,OTHPRIVENT,2009,16.63294
USA,OTHPRIVENT,2010,15.87239
USA,OTHPRIVENT,2011,17.33167
USA,OTHPRIVENT,2012,16.34998
USA,OTHPRIVENT,2013,17.17649
USA,OTHPRIVENT,2014,19.06804
USA,OTHPRIVENT,2015,18.49963
USA,OTHPRIVENT,2016,19.07917
USA,OTHPRIVENT,2017,19.48381
USA,OTHPRIVENT,2018,19.69291
CHL,HH,2012,68.3207
CHL,HH,2013,54.76127
CHL,HH,2014,51.9194
CHL,HH,2015,54.94421
CHL,HH,2016,60.55107
CHL,HH,2017,60.25195
CHL,HH,2018,56.54903
CHL,OTHPRIVENT,2012,7.486738
CHL,OTHPRIVENT,2013,10.68266
CHL,OTHPRIVENT,2014,10.57624
CHL,OTHPRIVENT,2015,9.39463
CHL,OTHPRIVENT,2016,8.456183
CHL,OTHPRIVENT,2017,1.95893
CHL,OTHPRIVENT,2018,2.162694
EST,HH,2012,11.32456
EST,HH,2013,13.27496
EST,HH,2014,7.55119
EST,HH,2015,6.497971
EST,HH,2016,5.791743
EST,HH,2017,6.594309
EST,HH,2018,6.230091
EST,OTHPRIVENT,2012,4.948163
EST,OTHPRIVENT,2013,0.4136923
EST,OTHPRIVENT,2014,12.39887
EST,OTHPRIVENT,2015,17.34796
EST,OTHPRIVENT,2016,6.28069
EST,OTHPRIVENT,2017,7.989845
EST,OTHPRIVENT,2018,11.33166
ISR,HH,1995,24.25387
ISR,HH,2000,22.8565
ISR,HH,2005,28.92196
ISR,HH,2008,33.6802
ISR,HH,2009,27.27198
ISR,HH,2010,29.64664
ISR,HH,2012,29.20985
ISR,HH,2013,28.00385
ISR,HH,2014,27.21338
ISR,HH,2015,26.1577
ISR,HH,2016,28.54279
ISR,HH,2017,26.83508
ISR,HH,2018,27.14469
ISR,OTHPRIVENT,1995,16.52814
ISR,OTHPRIVENT,2000,16.14788
ISR,OTHPRIVENT,2005,18.0134
ISR,OTHPRIVENT,2008,15
ISR,OTHPRIVENT,2009,14.55873
ISR,OTHPRIVENT,2010,16.12712
ISR,OTHPRIVENT,2012,18.9593
ISR,OTHPRIVENT,2013,19.8141
ISR,OTHPRIVENT,2014,19.9748
ISR,OTHPRIVENT,2015,14.57775
ISR,OTHPRIVENT,2016,17.6012
ISR,OTHPRIVENT,2017,15.2654
ISR,OTHPRIVENT,2018,19.4729
RUS,HH,2010,26.75314
RUS,HH,2011,25.11207
RUS,HH,2012,23.66666
